rt,trial_index,subject,form_assignment,button_pressed,condition,topic,speaker,form,response,already_heard_by_speaker,Gender,Native_Speaker,Music_Ability,Age,Mobile
328.615,118,yas2e2mcsw,non_conventional,1,statement,phone,22,nonconventional,Non-Request,No,Male,Yes,4,19,No
,119,yas2e2mcsw,non_conventional,,request,phone,22,nonconventional,,No,Male,Yes,4,19,No
298.26,120,yas2e2mcsw,non_conventional,0,request,phone,22,nonconventional,Request,Yes,Male,Yes,4,19,No
,121,yas2e2mcsw,non_conventional,,request,soup,22,nonconventional,,No,Male,Yes,4,19,No
204.19,122,yas2e2mcsw,non_conventional,0,request,soup,22,nonconventional,Request,Yes,Male,Yes,4,19,No
,123,yas2e2mcsw,non_conventional,,request,office,22,nonconventional,,No,Male,Yes,4,19,No
340.61,124,yas2e2mcsw,non_conventional,0,request,office,22,nonconventional,Request,Yes,Male,Yes,4,19,No
,125,yas2e2mcsw,non_conventional,,statement,phone,4,nonconventional,,No,Male,Yes,4,19,No
584.505,126,yas2e2mcsw,non_conventional,1,statement,phone,4,nonconventional,Non-Request,No,Male,Yes,4,19,No
,127,yas2e2mcsw,non_conventional,,request,office,4,nonconventional,,No,Male,Yes,4,19,No
302.87,128,yas2e2mcsw,non_conventional,1,request,office,4,nonconventional,Non-Request,No,Male,Yes,4,19,No
,129,yas2e2mcsw,non_conventional,,statement,car,4,nonconventional,,No,Male,Yes,4,19,No
194.08,130,yas2e2mcsw,non_conventional,0,statement,car,4,nonconventional,Request,No,Male,Yes,4,19,No
,131,yas2e2mcsw,non_conventional,,statement,office,4,nonconventional,,No,Male,Yes,4,19,No
317.315,132,yas2e2mcsw,non_conventional,0,statement,office,4,nonconventional,Request,Yes,Male,Yes,4,19,No
,133,yas2e2mcsw,non_conventional,,request,phone,4,nonconventional,,No,Male,Yes,4,19,No
264.545,134,yas2e2mcsw,non_conventional,1,request,phone,4,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,135,yas2e2mcsw,non_conventional,,request,soup,4,nonconventional,,No,Male,Yes,4,19,No
329.2,136,yas2e2mcsw,non_conventional,0,request,soup,4,nonconventional,Request,No,Male,Yes,4,19,No
,137,yas2e2mcsw,non_conventional,,statement,soup,4,nonconventional,,No,Male,Yes,4,19,No
302.08,138,yas2e2mcsw,non_conventional,0,statement,soup,4,nonconventional,Request,Yes,Male,Yes,4,19,No
,139,yas2e2mcsw,non_conventional,,request,laptop,4,nonconventional,,No,Male,Yes,4,19,No
272.32,140,yas2e2mcsw,non_conventional,1,request,laptop,4,nonconventional,Non-Request,No,Male,Yes,4,19,No
,141,yas2e2mcsw,non_conventional,,request,back,4,nonconventional,,No,Male,Yes,4,19,No
282.195,142,yas2e2mcsw,non_conventional,0,request,back,4,nonconventional,Request,No,Male,Yes,4,19,No
,143,yas2e2mcsw,non_conventional,,request,car,4,nonconventional,,No,Male,Yes,4,19,No
239.825,144,yas2e2mcsw,non_conventional,0,request,car,4,nonconventional,Request,Yes,Male,Yes,4,19,No
,145,yas2e2mcsw,non_conventional,,statement,laptop,4,nonconventional,,No,Male,Yes,4,19,No
226.78,146,yas2e2mcsw,non_conventional,1,statement,laptop,4,nonconventional,Non-Request,Yes,Male,Yes,4,19,No
,147,yas2e2mcsw,non_conventional,,statement,back,4,nonconventional,,No,Male,Yes,4,19,No
316.96,148,yas2e2mcsw,non_conventional,0,statement,back,4,nonconventional,Request,Yes,Male,Yes,4,19,No
,149,yas2e2mcsw,non_conventional,,statement,phone,25,nonconventional,,No,Male,Yes,4,19,No
236.865,150,yas2e2mcsw,non_conventional,0,statement,phone,25,nonconventional,Request,No,Male,Yes,4,19,No
,151,yas2e2mcsw,non_conventional,,request,laptop,25,nonconventional,,No,Male,Yes,4,19,No
230.95,152,yas2e2mcsw,non_conventional,1,request,laptop,25,nonconventional,Non-Request,No,Male,Yes,4,19,No
,153,yas2e2mcsw,non_conventional,,request,office,25,nonconventional,,No,Male,Yes,4,19,No
236.685,154,yas2e2mcsw,non_conventional,1,request,office,25,nonconventional,Non-Request,No,Male,Yes,4,19,No
,155,yas2e2mcsw,non_conventional,,statement,back,25,nonconventional,,No,Male,Yes,4,19,No
